N,P,K,temperature,humidity,ph,rainfall,label
106.7239602,108.2169145,107.3090489,29.98004935,89.2155498,5.939052005,286.7880974,Wheat
36.2973431,69.5562704,188.9267715,38.41452864,85.15989645,9.324859325,77.13833243,Wheat
156.0478949,104.359099,149.6617745,38.59848907,43.22818985,12.17081317,102.9074981,Wheat
59.68631649,3.03698117,32.10704216,28.72771595,72.95578508,10.91017293,201.7527557,Wheat
175.398044,28.41484437,99.63568517,12.91458673,60.23416038,3.609292628,270.3259415,Wheat
195.6850196,53.1107108,37.55829848,39.40516201,74.77714556,4.056333996,268.2490991,Wheat
177.91085,20.65867905,166.3332977,26.82537489,86.02949457,6.889021068,96.81297751,Wheat
139.4203253,76.97202569,187.075774,34.76459472,80.77153317,8.097333472,64.46104546,Wheat
25.11588128,192.5778011,68.05028207,22.472769,45.24396769,9.456591753,148.0929053,Wheat
197.210332,117.7906083,67.23676644,42.70736604,57.1021858,9.788489278,111.178124,Wheat
30.558734,137.7340041,25.71295393,29.07363109,81.95107199,8.356143972,164.2561911,Wheat
77.4646165,197.9888494,106.2796573,39.67159012,59.83819519,8.28294778,54.68350239,Wheat
75.01464403,142.9081071,184.8325541,37.72569512,47.12812034,6.533472827,155.0846139,Wheat
139.6493285,197.7419568,8.134671304,38.02543779,54.03793445,11.87153084,107.0817042,Wheat
100.12937,145.9809423,191.3391899,27.18701406,63.09857347,10.3321195,250.1734121,Wheat
197.0083544,130.6463391,89.69128414,31.21194551,61.84127802,5.384495027,51.53091633,Wheat
172.0461732,69.03383682,21.44301536,16.37410674,68.11020707,11.24697924,146.3981854,Wheat
119.705911,65.42071142,87.34731679,26.57949562,56.82246556,10.2738886,245.5519974,Wheat
138.2995892,149.5846995,71.52455001,23.29087287,57.35895526,1.831166725,196.0646359,Wheat
139.0509565,180.3338878,16.55311018,39.09724088,43.19388472,7.740094349,48.84874232,Wheat
76.24373795,92.03728154,58.53101251,17.40281748,53.80724319,4.787283751,300.4653529,Wheat
11.86597597,98.62039666,152.214762,15.41974337,57.41582355,9.629356123,251.5232829,Wheat
173.262492,41.88232474,53.8041629,39.74255918,59.88218979,10.53089282,208.6417831,Wheat
138.9856783,201.7593389,103.4395091,28.20048043,86.36233442,2.543102989,284.7562044,Wheat
5.85304197,181.791968,125.7391777,24.13884163,49.23256862,4.720833182,291.6960528,Wheat
49.02490751,53.90095383,40.14412006,25.6676467,36.61474958,3.826727607,278.7664502,Wheat
135.1676844,114.7334523,172.8637814,31.86813018,61.9641733,2.357812363,117.810129,Wheat
16.10039312,0,151.1805834,19.70341419,82.91107868,2.217143024,251.2764842,Wheat
13.96806286,186.7443987,124.2090377,30.81817029,77.92987297,1.264137053,146.9641897,Wheat
149.9693262,133.2982448,150.9151566,32.85957274,57.14749373,2.147472984,95.72094838,Wheat
190.2435822,155.3477866,16.27404703,24.99483795,63.12780306,8.877309162,81.52580424,Wheat
140.1675305,72.30486112,75.59568047,21.50024761,45.60148465,9.84999407,194.0727857,Wheat
178.2922947,175.1561369,161.8674122,13.53230647,75.1532646,3.148352143,130.5743703,Wheat
130.1512499,151.8647036,70.95278531,40.16923371,74.11326219,5.909767569,98.50737865,Wheat
198.3739955,88.87937276,132.1244338,22.70021055,75.96162525,7.161841417,279.2089984,Wheat
26.69473491,149.1717376,29.59525946,28.201651,93.83163815,8.407212433,225.0981349,Wheat
46.31497638,72.72214642,34.73707875,32.17239235,63.37686043,10.51433265,132.4398246,Wheat
14.4350888,22.8625362,169.6613536,28.07237056,89.654713,9.849146658,108.4820133,Wheat
73.71155886,191.7585479,141.9211736,16.11356033,49.2122025,6.709837136,116.9332704,Wheat
4.61792279,76.34101447,174.2875134,27.73484402,45.31419945,6.910827632,252.2641822,Wheat
47.5441044,148.6574543,74.69235444,24.32959211,58.75155046,11.39571576,230.4059188,Wheat
68.21225615,22.43219988,21.89530191,27.47681099,90.43138814,4.050349394,288.6544049,Wheat
55.57803629,161.3306266,172.9660164,36.09755439,75.22674501,7.538261715,281.2941681,Wheat
148.7708615,26.70347827,160.657695,22.85211782,76.56908158,6.21360288,163.0290879,Wheat
150.0387964,147.3522634,110.7705716,28.12855585,58.83724246,8.237781218,91.69692193,Wheat
60.40384694,39.78038327,154.3639167,26.11882264,61.01899486,9.526482632,281.3863312,Wheat
7.124361356,56.40561089,17.97518516,16.60840938,72.56069169,0.496164437,264.25718,Wheat
138.5895657,61.07185921,78.05188669,38.75490092,51.16065199,3.627204341,253.82519,Wheat
37.39338351,61.93481253,119.9762611,28.78456008,54.13435412,8.641705155,150.9874899,Wheat
103.6497002,101.5761872,62.7564431,20.81246158,43.83525383,6.038252563,86.16107803,Wheat
103.142266,40.57508471,90.65309014,32.33375658,47.44474259,6.015659528,98.30172912,Wheat
19.01221297,108.1727993,156.0503212,25.98263185,81.08551743,5.799828461,232.578375,Wheat
197.8764307,166.9118735,183.0869378,30.49245814,84.10623577,9.502289751,107.5537869,Wheat
99.46135902,49.78535006,40.73027612,23.9743621,50.75043426,6.554673801,286.2712698,Wheat
25.3005996,138.7677264,163.9013015,13.5514505,78.76898538,4.027538909,52.75876574,Wheat
181.0113304,18.19891828,93.43124049,28.70218857,63.71868768,5.071297765,46.32150821,Wheat
16.68410816,184.1537766,129.3264153,20.78462449,64.3682965,11.6967184,212.8262411,Wheat
84.86774932,173.8012112,111.5507383,41.33039843,40.60935518,1.700258532,154.5793129,Wheat
88.56041987,5.539118665,121.7818327,24.72348782,48.54212523,10.49359687,278.6379675,Wheat
172.2847328,43.27374622,101.0087857,19.27858563,89.63812382,7.674443488,229.4787798,Wheat
